0.0000,-2.0871E-43,6.5386E-5,1.5690E-4,2.3404E-4,2.9850E-4,3.5221E-4,3.9689E-4,4.3458E-4,4.6594E-4,4.9218E-4,5.1420E-4,5.3335E-4,5.4906E-4,5.6036E-4,5.6702E-4,5.7368E-4,5.8033E-4,5.8464E-4,5.8868E-4,5.9271E-4,5.9568E-4,5.9781E-4,5.9994E-4,6.0207E-4,6.0421E-4,6.0556E-4,6.0668E-4,6.0780E-4,6.0892E-4,6.1004E-4,6.1069E-4,6.1133E-4,6.1197E-4,6.1260E-4,6.1319E-4,6.1350E-4,6.1382E-4,6.1414E-4,6.1446E-4,6.1471E-4,6.1487E-4,6.1502E-4,6.1517E-4,6.1532E-4,6.1543E-4,6.1550E-4,6.1557E-4,6.1564E-4,6.1571E-4
6.5914,2.0912E-43,6.6642E-5,1.5979E-4,2.3830E-4,3.0391E-4,3.5858E-4,4.0405E-4,4.4241E-4,4.7434E-4,5.0104E-4,5.2345E-4,5.4294E-4,5.5894E-4,5.7044E-4,5.7721E-4,5.8399E-4,5.9076E-4,5.9515E-4,5.9926E-4,6.0336E-4,6.0638E-4,6.0855E-4,6.1072E-4,6.1289E-4,6.1506E-4,6.1644E-4,6.1758E-4,6.1872E-4,6.1986E-4,6.2100E-4,6.2167E-4,6.2231E-4,6.2296E-4,6.2361E-4,6.2420E-4,6.2453E-4,6.2485E-4,6.2517E-4,6.2550E-4,6.2576E-4,6.2591E-4,6.2607E-4,6.2622E-4,6.2637E-4,6.2648E-4,6.2655E-4,6.2663E-4,6.2670E-4,6.2677E-4
13.183,6.2696E-43,6.7898E-5,1.6267E-4,2.4256E-4,3.0932E-4,3.6495E-4,4.1121E-4,4.5025E-4,4.8273E-4,5.0990E-4,5.3270E-4,5.5253E-4,5.6881E-4,5.8051E-4,5.8741E-4,5.9430E-4,6.0119E-4,6.0565E-4,6.0983E-4,6.1401E-4,6.1708E-4,6.1929E-4,6.2150E-4,6.2371E-4,6.2592E-4,6.2732E-4,6.2848E-4,6.2964E-4,6.3080E-4,6.3196E-4,6.3264E-4,6.3330E-4,6.3395E-4,6.3461E-4,6.3522E-4,6.3555E-4,6.3588E-4,6.3621E-4,6.3653E-4,6.3680E-4,6.3696E-4,6.3711E-4,6.3727E-4,6.3743E-4,6.3754E-4,6.3761E-4,6.3768E-4,6.3776E-4,6.3783E-4
19.774,1.0448E-42,6.9154E-5,1.6556E-4,2.4682E-4,3.1473E-4,3.7131E-4,4.1837E-4,4.5808E-4,4.9112E-4,5.1876E-4,5.4195E-4,5.6213E-4,5.7868E-4,5.9059E-4,5.9760E-4,6.0461E-4,6.1162E-4,6.1616E-4,6.2041E-4,6.2467E-4,6.2779E-4,6.3003E-4,6.3228E-4,6.3453E-4,6.3677E-4,6.3820E-4,6.3938E-4,6.4056E-4,6.4174E-4,6.4292E-4,6.4361E-4,6.4428E-4,6.4495E-4,6.4562E-4,6.4623E-4,6.4657E-4,6.4690E-4,6.4724E-4,6.4757E-4,6.4784E-4,6.4800E-4,6.4816E-4,6.4832E-4,6.4848E-4,6.4859E-4,6.4867E-4,6.4874E-4,6.4882E-4,6.4889E-4
26.365,-3.9496E-43,7.2882E-5,1.7412E-4,2.5944E-4,3.3076E-4,3.9017E-4,4.3958E-4,4.8128E-4,5.1597E-4,5.4499E-4,5.6935E-4,5.9053E-4,6.0792E-4,6.2042E-4,6.2778E-4,6.3514E-4,6.4251E-4,6.4727E-4,6.5174E-4,6.5620E-4,6.5948E-4,6.6184E-4,6.6420E-4,6.6656E-4,6.6892E-4,6.7042E-4,6.7166E-4,6.7290E-4,6.7413E-4,6.7537E-4,6.7610E-4,6.7680E-4,6.7750E-4,6.7821E-4,6.7885E-4,6.7920E-4,6.7955E-4,6.7991E-4,6.8026E-4,6.8054E-4,6.8071E-4,6.8088E-4,6.8104E-4,6.8121E-4,6.8133E-4,6.8141E-4,6.8148E-4,6.8156E-4,6.8164E-4
32.957,-1.8347E-42,7.6611E-5,1.8267E-4,2.7207E-4,3.4678E-4,4.0902E-4,4.6079E-4,5.0448E-4,5.4082E-4,5.7122E-4,5.9674E-4,6.1894E-4,6.3715E-4,6.5025E-4,6.5796E-4,6.6568E-4,6.7339E-4,6.7838E-4,6.8306E-4,6.8774E-4,6.9117E-4,6.9365E-4,6.9612E-4,6.9859E-4,7.0106E-4,7.0263E-4,7.0393E-4,7.0523E-4,7.0653E-4,7.0782E-4,7.0858E-4,7.0932E-4,7.1005E-4,7.1079E-4,7.1147E-4,7.1184E-4,7.1220E-4,7.1257E-4,7.1294E-4,7.1324E-4,7.1342E-4,7.1359E-4,7.1377E-4,7.1394E-4,7.1406E-4,7.1415E-4,7.1423E-4,7.1431E-4,7.1439E-4
39.548,-3.2745E-42,8.0339E-5,1.9123E-4,2.8469E-4,3.6280E-4,4.2787E-4,4.8200E-4,5.2767E-4,5.6567E-4,5.9746E-4,6.2414E-4,6.4734E-4,6.6639E-4,6.8008E-4,6.8814E-4,6.9621E-4,7.0428E-4,7.0950E-4,7.1439E-4,7.1928E-4,7.2287E-4,7.2545E-4,7.2804E-4,7.3062E-4,7.3320E-4,7.3485E-4,7.3621E-4,7.3756E-4,7.3892E-4,7.4027E-4,7.4107E-4,7.4184E-4,7.4261E-4,7.4338E-4,7.4408E-4,7.4447E-4,7.4485E-4,7.4524E-4,7.4563E-4,7.4594E-4,7.4612E-4,7.4630E-4,7.4649E-4,7.4667E-4,7.4680E-4,7.4688E-4,7.4697E-4,7.4706E-4,7.4714E-4
46.140,6.3294E-42,8.6920E-5,2.0629E-4,3.0690E-4,3.9099E-4,4.6104E-4,5.1931E-4,5.6847E-4,6.0938E-4,6.4359E-4,6.7232E-4,6.9729E-4,7.1780E-4,7.3253E-4,7.4122E-4,7.4990E-4,7.5858E-4,7.6420E-4,7.6947E-4,7.7473E-4,7.7860E-4,7.8138E-4,7.8416E-4,7.8694E-4,7.8972E-4,7.9149E-4,7.9295E-4,7.9441E-4,7.9587E-4,7.9733E-4,7.9819E-4,7.9902E-4,7.9985E-4,8.0067E-4,8.0144E-4,8.0185E-4,8.0227E-4,8.0268E-4,8.0309E-4,8.0343E-4,8.0363E-4,8.0383E-4,8.0402E-4,8.0422E-4,8.0436E-4,8.0445E-4,8.0454E-4,8.0463E-4,8.0473E-4
52.731,1.5933E-41,9.3502E-5,2.2136E-4,3.2912E-4,4.1917E-4,4.9420E-4,5.5661E-4,6.0927E-4,6.5308E-4,6.8973E-4,7.2049E-4,7.4724E-4,7.6920E-4,7.8499E-4,7.9429E-4,8.0359E-4,8.1289E-4,8.1891E-4,8.2454E-4,8.3018E-4,8.3432E-4,8.3730E-4,8.4028E-4,8.4326E-4,8.4624E-4,8.4814E-4,8.4970E-4,8.5127E-4,8.5283E-4,8.5439E-4,8.5531E-4,8.5620E-4,8.5708E-4,8.5797E-4,8.5879E-4,8.5923E-4,8.5968E-4,8.6012E-4,8.6056E-4,8.6092E-4,8.6114E-4,8.6135E-4,8.6156E-4,8.6177E-4,8.6192E-4,8.6202E-4,8.6211E-4,8.6221E-4,8.6231E-4
59.322,2.5537E-41,1.0008E-4,2.3642E-4,3.5133E-4,4.4736E-4,5.2737E-4,5.9391E-4,6.5006E-4,6.9678E-4,7.3586E-4,7.6867E-4,7.9719E-4,8.2061E-4,8.3744E-4,8.4736E-4,8.5728E-4,8.6719E-4,8.7361E-4,8.7962E-4,8.8564E-4,8.9005E-4,8.9323E-4,8.9641E-4,8.9958E-4,9.0276E-4,9.0478E-4,9.0645E-4,9.0812E-4,9.0979E-4,9.1145E-4,9.1243E-4,9.1338E-4,9.1432E-4,9.1527E-4,9.1614E-4,9.1661E-4,9.1709E-4,9.1756E-4,9.1803E-4,9.1842E-4,9.1864E-4,9.1887E-4,9.1909E-4,9.1932E-4,9.1948E-4,9.1958E-4,9.1969E-4,9.1979E-4,9.1990E-4
